epoch,accuracy,loss,val_accuracy,val_loss
0,0.1554284244775772,5.307197570800781,0.2824600040912628,4.161769866943359
1,0.4466894865036011,2.9408977031707764,0.5620800256729126,2.086268424987793
2,0.6791136860847473,1.3882999420166016,0.75,1.0079538822174072
3,0.8162158131599426,0.6886966824531555,0.8347399830818176,0.6243329644203186
4,0.882828414440155,0.40985777974128723,0.8675000071525574,0.49064502120018005
5,0.9158378839492798,0.28195109963417053,0.8911399841308594,0.41091588139533997
6,0.9321210384368896,0.22154252231121063,0.9050800204277039,0.3549094796180725
7,0.9442347288131714,0.17882885038852692,0.9160599708557129,0.3222798705101013
8,0.9529842138290405,0.15022827684879303,0.9248600006103516,0.2901284992694855
9,0.9586410522460938,0.13071967661380768,0.9200199842453003,0.31284061074256897
10,0.963954746723175,0.11350289732217789,0.9298800230026245,0.2867853343486786
11,0.9669589400291443,0.10369538515806198,0.9320399761199951,0.2737607955932617
12,0.9708757996559143,0.0912591814994812,0.9274200201034546,0.2980373799800873
13,0.9730789661407471,0.08448688685894012,0.9334200024604797,0.277629554271698
14,0.9753684401512146,0.07750704884529114,0.9377800226211548,0.26680323481559753
15,0.9772863388061523,0.07137902081012726,0.9365800023078918,0.2666054368019104
16,0.9789568185806274,0.06598763167858124,0.9452800154685974,0.23303009569644928
17,0.9799315929412842,0.06320206075906754,0.9426199793815613,0.2502877712249756
18,0.9814463257789612,0.058096546679735184,0.9501399993896484,0.21280288696289062
19,0.983082115650177,0.05357583239674568,0.9418200254440308,0.2568383514881134
20,0.9830642342567444,0.05297275260090828,0.9498400092124939,0.22539423406124115
21,0.9842726588249207,0.04917777702212334,0.9470199942588806,0.23694169521331787
22,0.9852778911590576,0.04625442996621132,0.9531000256538391,0.2050189971923828
23,0.986046314239502,0.043788276612758636,0.9525600075721741,0.21532544493675232
24,0.9863694906234741,0.04267594590783119,0.9501000046730042,0.22085750102996826
25,0.986866295337677,0.041188932955265045,0.95169997215271,0.21796128153800964
26,0.987657904624939,0.039110563695430756,0.9553999900817871,0.2020217925310135
27,0.9881473779678345,0.037207070738077164,0.9549999833106995,0.2083614468574524
28,0.9889242053031921,0.0350782573223114,0.9553400278091431,0.2022739052772522
29,0.9888694882392883,0.03517470881342888,0.955079972743988,0.2055395543575287
30,0.9893504977226257,0.033695366233587265,0.9573000073432922,0.19842857122421265
31,0.9894737005233765,0.032994478940963745,0.9578999876976013,0.1920820027589798
32,0.9901947379112244,0.030713794752955437,0.9583799839019775,0.1935567855834961
33,0.9903347492218018,0.03062167391180992,0.9585000276565552,0.19690018892288208
34,0.9905515909194946,0.02979453094303608,0.9577400088310242,0.19681505858898163
35,0.9912989735603333,0.027546828612685204,0.9581800103187561,0.1996111422777176
36,0.9909631609916687,0.028748339042067528,0.9610000252723694,0.1857871264219284
37,0.9913557767868042,0.027489975094795227,0.9614800214767456,0.17441900074481964
38,0.9921505451202393,0.024800315499305725,0.9621999859809875,0.17940492928028107
39,0.9918915629386902,0.025800203904509544,0.9586600065231323,0.2009589672088623
40,0.9920694828033447,0.024977264925837517,0.9592400193214417,0.19482626020908356
41,0.9921726584434509,0.024882249534130096,0.9637200236320496,0.18169021606445312
42,0.9924473762512207,0.02389368787407875,0.9601600170135498,0.18999424576759338
43,0.9927589297294617,0.022971348837018013,0.9637600183486938,0.17175115644931793
44,0.9929694533348083,0.022452082484960556,0.9621400237083435,0.1786295622587204
45,0.993179976940155,0.0214763842523098,0.9626799821853638,0.18041618168354034
46,0.9929379224777222,0.02211340144276619,0.9645199775695801,0.17566074430942535
47,0.9932905435562134,0.02123693935573101,0.9644200205802917,0.17022496461868286
48,0.9936410784721375,0.020451094955205917,0.9641199707984924,0.1719648391008377
49,0.9936305284500122,0.020110012963414192,0.9678000211715698,0.15687085688114166
50,0.993777871131897,0.019930951297283173,0.9626200199127197,0.18434470891952515
51,0.9938557744026184,0.019462866708636284,0.9624999761581421,0.17736169695854187
52,0.9937978982925415,0.019992221146821976,0.9665399789810181,0.16041938960552216
53,0.9943294525146484,0.01802707463502884,0.9671400189399719,0.1645715981721878
54,0.9943431615829468,0.018186179921030998,0.9684799909591675,0.15789107978343964
55,0.9942421317100525,0.018449708819389343,0.9687399864196777,0.15370188653469086
56,0.9946379065513611,0.017137279734015465,0.9678400158882141,0.16313746571540833
57,0.9945862889289856,0.017239324748516083,0.967199981212616,0.16562318801879883
58,0.9946231842041016,0.017311951145529747,0.9668999910354614,0.1641686111688614
59,0.9947094917297363,0.01699027791619301,0.9689000248908997,0.15550217032432556
60,0.9948694705963135,0.01639067381620407,0.9685400128364563,0.15837277472019196
61,0.9949684143066406,0.016106409952044487,0.9648799896240234,0.1743261069059372
62,0.9952705502510071,0.015234995633363724,0.9657400250434875,0.17579799890518188
63,0.9950442314147949,0.01596067287027836,0.9696800112724304,0.15657924115657806
64,0.9951768517494202,0.015410218387842178,0.9658200144767761,0.1766214221715927
65,0.9951421022415161,0.01569843292236328,0.9679200053215027,0.16617479920387268
66,0.9952021241188049,0.01549145020544529,0.9667199850082397,0.1708725243806839
67,0.9955747127532959,0.014247174374759197,0.9654200077056885,0.17788687348365784
68,0.9955400228500366,0.014435348100960255,0.9693999886512756,0.1531009078025818
69,0.9952715635299683,0.01566218212246895,0.9675800204277039,0.1689605414867401
